Timestamp,User,Action,Entity,Country,Num_Industries,Industries_JSON,Total_Rows,Status,Details
2026-09-02 17:04:09,team,COUNT,Companies,Austria,3,"[""Software Development"", ""Nanotechnology Research"", ""Telecommunications""]",13737,SUCCESS,"13,737 rows across 3 industries"
2026-09-10 15:45:49,team_user,APP_LOADED,Companies,-,0,[],0,SUCCESS,
2026-09-10 15:46:04,anubhav,USER_LOGIN,Companies,-,0,[],0,SUCCESS,
2026-09-10 15:50:26,team_user,APP_LOADED,Companies,-,0,[],0,SUCCESS,
2026-09-10 15:51:22,team_user,APP_LOADED,Companies,-,0,[],0,SUCCESS,
2026-09-10 16:07:04,team_user,APP_LOADED,Companies,-,0,[],0,SUCCESS,
2026-09-10 16:07:11,anubhav,USER_LOGIN,Companies,-,0,[],0,SUCCESS,
2026-09-10 16:11:17,team_user,APP_LOADED,Companies,-,0,[],0,SUCCESS,
2026-09-10 16:13:46,team_user,APP_LOADED,Companies,-,0,[],0,SUCCESS,
2026-09-10 16:14:46,anubhav,COUNT_STARTED,Companies,Spain,0,[],0,SUCCESS,
